tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_4
T1-T2,Mon-Wed,> 181 Days (W5),0-5%,0,5,,,T1,159,166,182
T1-T2,Mon-Wed,> 181 Days (W5),6-10%,6,10,,,T1,164,171,187
T1-T2,Mon-Wed,> 181 Days (W5),11-20%,11,20,,,T3,234,246,269
T1-T2,Mon-Wed,> 181 Days (W5),21-100%,21,100,,,T7,293,443,676
T1-T2,Thu-Sun,> 181 Days (W5),0-5%,0,5,,,T1,182,191,209
T1-T2,Thu-Sun,> 181 Days (W5),6-10%,6,10,,,T1,187,197,215
T1-T2,Thu-Sun,> 181 Days (W5),11-20%,11,20,,,T3,268,281,307
T1-T2,Thu-Sun,> 181 Days (W5),21-100%,21,100,,,T7,336,506,773
T1-T2,Fri-Sat,> 181 Days (W5),0-5%,0,5,,,T1,240,252,276
T1-T2,Fri-Sat,> 181 Days (W5),6-10%,6,10,,,T1,247,260,284
T1-T2,Fri-Sat,> 181 Days (W5),11-20%,11,20,,,T3,353,371,406
T1-T2,Fri-Sat,> 181 Days (W5),21-100%,21,100,,,T7,441,667,1019
T1-T2,Mon-Wed,91-180 Days (W4),0-5%,0,5,,,T1,156,163,178
T1-T2,Mon-Wed,91-180 Days (W4),6-15%,6,15,,,T1,160,168,184
T1-T2,Mon-Wed,91-180 Days (W4),16-25%,16,25,,,T3,230,241,264
T1-T2,Mon-Wed,91-180 Days (W4),26-100%,26,100,,,T7,287,434,662
T1-T2,Thu-Sun,91-180 Days (W4),0-5%,0,5,,,T1,178,187,205
T1-T2,Thu-Sun,91-180 Days (W4),6-15%,6,15,,,T1,184,193,211
T1-T2,Thu-Sun,91-180 Days (W4),16-25%,16,25,,,T3,263,275,301
T1-T2,Thu-Sun,91-180 Days (W4),26-100%,26,100,,,T7,329,496,757
T1-T2,Fri-Sat,91-180 Days (W4),0-5%,0,5,,,T1,235,247,270
T1-T2,Fri-Sat,91-180 Days (W4),6-15%,6,15,,,T1,242,254,279
T1-T2,Fri-Sat,91-180 Days (W4),16-25%,16,25,,,T3,346,364,398
T1-T2,Fri-Sat,91-180 Days (W4),26-100%,26,100,,,T7,433,654,999
T1-T2,Mon-Wed,31-90 Days (W3),0-5%,0,5,,,T1,153,159,175
T1-T2,Mon-Wed,31-90 Days (W3),6-20%,6,20,,,T1,157,164,180
T1-T2,Mon-Wed,31-90 Days (W3),21-35%,21,35,,,T3,225,236,258
T1-T2,Mon-Wed,31-90 Days (W3),36-100%,36,100,,,T5,255,321,415
T1-T2,Thu-Sun,31-90 Days (W3),0-5%,0,5,,,T1,175,183,201
T1-T2,Thu-Sun,31-90 Days (W3),6-20%,6,20,,,T1,180,189,207
T1-T2,Thu-Sun,31-90 Days (W3),21-35%,21,35,,,T3,257,270,295
T1-T2,Thu-Sun,31-90 Days (W3),36-100%,36,100,,,T5,292,367,475
T1-T2,Fri-Sat,31-90 Days (W3),0-5%,0,5,,,T1,230,242,265
T1-T2,Fri-Sat,31-90 Days (W3),6-20%,6,20,,,T1,237,249,273
T1-T2,Fri-Sat,31-90 Days (W3),21-35%,21,35,,,T3,339,356,390
T1-T2,Fri-Sat,31-90 Days (W3),36-100%,36,100,,,T5,384,484,626
T1-T2,Mon-Wed,8-30 Days (W2),0-10%,0,10,,,T0,131,154,168
T1-T2,Mon-Wed,8-30 Days (W2),11-25%,11,25,,,T1,154,161,176
T1-T2,Mon-Wed,8-30 Days (W2),26-40%,26,40,,,T2,179,188,205
T1-T2,Mon-Wed,8-30 Days (W2),41-100%,41,100,,,T4,238,274,326
T1-T2,Thu-Sun,8-30 Days (W2),0-10%,0,10,,,T0,149,170,215
T1-T2,Thu-Sun,8-30 Days (W2),11-25%,11,25,,,T1,176,185,202
T1-T2,Thu-Sun,8-30 Days (W2),26-40%,26,40,,,T2,205,215,235
T1-T2,Thu-Sun,8-30 Days (W2),41-100%,41,100,,,T4,273,313,372
T1-T2,Fri-Sat,8-30 Days (W2),0-10%,0,10,,,T0,196,220,262
T1-T2,Fri-Sat,8-30 Days (W2),11-25%,11,25,,,T1,232,244,267
T1-T2,Fri-Sat,8-30 Days (W2),26-40%,26,40,,,T2,270,283,310
T1-T2,Fri-Sat,8-30 Days (W2),41-100%,41,100,,,T4,359,412,491
T1-T2,Mon-Wed,0-7 Days (W1),0-15%,0,15,,,T0,128,151,165
T1-T2,Mon-Wed,0-7 Days (W1),16-30%,16,30,,,T1,151,157,172
T1-T2,Mon-Wed,0-7 Days (W1),31-50%,31,50,,,T2,176,184,201
T1-T2,Mon-Wed,0-7 Days (W1),51-100%,51,100,,,T3,222,233,255
T1-T2,Thu-Sun,0-7 Days (W1),0-15%,0,15,,,T0,146,167,211
T1-T2,Thu-Sun,0-7 Days (W1),16-30%,16,30,,,T1,172,181,198
T1-T2,Thu-Sun,0-7 Days (W1),31-50%,31,50,,,T2,201,211,230
T1-T2,Thu-Sun,0-7 Days (W1),51-100%,51,100,,,T3,254,266,291
T1-T2,Fri-Sat,0-7 Days (W1),0-15%,0,15,,,T0,192,215,257
T1-T2,Fri-Sat,0-7 Days (W1),16-30%,16,30,,,T1,227,239,262
T1-T2,Fri-Sat,0-7 Days (W1),31-50%,31,50,,,T2,264,277,303
T1-T2,Fri-Sat,0-7 Days (W1),51-100%,51,100,,,T3,334,351,384
T3-T4,Mon-Wed,> 181 Days (W5),0-5%,0,5,,,T3,221,232,254
T3-T4,Mon-Wed,> 181 Days (W5),6-10%,6,10,,,T3,228,239,262
T3-T4,Mon-Wed,> 181 Days (W5),11-20%,11,20,,,T5,259,325,421
T3-T4,Mon-Wed,> 181 Days (W5),21-100%,21,100,,,T7,293,443,676
T3-T4,Thu-Sun,> 181 Days (W5),0-5%,0,5,,,T3,253,265,290
T3-T4,Thu-Sun,> 181 Days (W5),6-10%,6,10,,,T3,261,273,299
T3-T4,Thu-Sun,> 181 Days (W5),11-20%,11,20,,,T5,296,372,481
T3-T4,Thu-Sun,> 181 Days (W5),21-100%,21,100,,,T7,336,506,773
T3-T4,Fri-Sat,> 181 Days (W5),0-5%,0,5,,,T3,333,350,383
T3-T4,Fri-Sat,> 181 Days (W5),6-10%,6,10,,,T3,343,360,394
T3-T4,Fri-Sat,> 181 Days (W5),11-20%,11,20,,,T5,389,491,634
T3-T4,Fri-Sat,> 181 Days (W5),21-100%,21,100,,,T7,441,667,1019
T3-T4,Mon-Wed,91-180 Days (W4),0-5%,0,5,,,T3,217,227,249
T3-T4,Mon-Wed,91-180 Days (W4),6-15%,6,15,,,T3,223,234,256
T3-T4,Mon-Wed,91-180 Days (W4),16-25%,16,25,,,T5,253,319,412
T3-T4,Mon-Wed,91-180 Days (W4),26-100%,26,100,,,T7,287,434,662
T3-T4,Thu-Sun,91-180 Days (W4),0-5%,0,5,,,T3,248,260,284
T3-T4,Thu-Sun,91-180 Days (W4),6-15%,6,15,,,T3,255,267,293
T3-T4,Thu-Sun,91-180 Days (W4),16-25%,16,25,,,T5,290,365,472
T3-T4,Thu-Sun,91-180 Days (W4),26-100%,26,100,,,T7,329,496,757
T3-T4,Fri-Sat,91-180 Days (W4),0-5%,0,5,,,T3,326,343,375
T3-T4,Fri-Sat,91-180 Days (W4),6-15%,6,15,,,T3,336,353,387
T3-T4,Fri-Sat,91-180 Days (W4),16-25%,16,25,,,T5,381,481,621
