Listing ID,PMS Name,Date,Units,No. Booked,No. Blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
196571___361324,cloudbeds,2025-07-07T00:00:00.000000,1,0,0,0,1,739.0,1
196571___361324,cloudbeds,2025-07-08T00:00:00.000000,1,0,0,0,1,739.0,1
196571___361324,cloudbeds,2025-07-09T00:00:00.000000,1,0,0,0,1,739.0,1
196571___361324,cloudbeds,2025-07-10T00:00:00.000000,1,1,0,0,1,1564.0,0
196571___361324,cloudbeds,2025-07-11T00:00:00.000000,1,1,0,0,1,1863.0,0
196571___361324,cloudbeds,2025-07-12T00:00:00.000000,1,1,0,0,1,1863.0,0
196571___361324,cloudbeds,2025-07-13T00:00:00.000000,1,1,0,0,1,1564.0,0
196571___404310,cloudbeds,2025-07-07T00:00:00.000000,1,0,0,0,1,694.0,1
196571___404310,cloudbeds,2025-07-08T00:00:00.000000,1,0,0,0,1,694.0,1
196571___404310,cloudbeds,2025-07-09T00:00:00.000000,1,0,0,0,1,694.0,1
196571___404310,cloudbeds,2025-07-10T00:00:00.000000,1,0,0,0,1,1423.0,1
196571___404310,cloudbeds,2025-07-11T00:00:00.000000,1,0,0,0,1,1026.0,1
196571___404310,cloudbeds,2025-07-12T00:00:00.000000,1,0,0,0,1,1026.0,1
196571___404310,cloudbeds,2025-07-13T00:00:00.000000,1,0,0,0,1,743.0,1
196571___361241,cloudbeds,2025-07-07T00:00:00.000000,1,0,0,0,1,1807.0,1
196571___361241,cloudbeds,2025-07-08T00:00:00.000000,1,0,0,0,1,1807.0,1
196571___361241,cloudbeds,2025-07-09T00:00:00.000000,1,0,0,0,1,1807.0,1
196571___361241,cloudbeds,2025-07-10T00:00:00.000000,1,0,0,0,1,2023.0,1
196571___361241,cloudbeds,2025-07-11T00:00:00.000000,1,0,0,0,1,2668.0,1
196571___361241,cloudbeds,2025-07-12T00:00:00.000000,1,0,0,0,1,2668.0,1
196571___361241,cloudbeds,2025-07-13T00:00:00.000000,1,0,0,0,1,2323.0,1
