Date,Day,Tier
1/5/24,Friday,T7-T9
1/6/24,Saturday,T7-T9
1/7/24,Sunday,T4-T6
1/8/24,Monday,T4-T6
1/9/24,Tuesday,T4-T6
1/10/24,Wednesday,T1-T3
1/11/24,Thursday,T1-T3
1/12/24,Friday,T7-T9
1/13/24,Saturday,T7-T9
1/14/24,Sunday,T7-T9
1/15/24,Monday,T1-T3
1/16/24,Tuesday,T1-T3
1/17/24,Wednesday,T1-T3
1/18/24,Thursday,T4-T6
1/19/24,Friday,T10-T12
1/20/24,Saturday,T10-T12
1/21/24,Sunday,T4-T6
1/22/24,Monday,T4-T6
1/23/24,Tuesday,T4-T6
1/24/24,Wednesday,T1-T3
1/25/24,Thursday,T1-T3
1/26/24,Friday,T7-T9
1/27/24,Saturday,T7-T9
1/28/24,Sunday,T4-T6
1/29/24,Monday,T4-T6
1/30/24,Tuesday,T4-T6
1/31/24,Wednesday,T1-T3
2/1/24,Thursday,T1-T3
2/2/24,Friday,T10-T12
2/3/24,Saturday,T10-T12
2/4/24,Sunday,T4-T6
2/5/24,Monday,T1-T3
2/6/24,Tuesday,T1-T3
2/7/24,Wednesday,T1-T3
2/8/24,Thursday,T4-T6
2/9/24,Friday,T13-T15
2/10/24,Saturday,T13-T15
2/11/24,Sunday,T4-T6
2/12/24,Monday,T1-T3
2/13/24,Tuesday,T1-T3
2/14/24,Wednesday,T4-T6
2/15/24,Thursday,T7-T9
2/16/24,Friday,T13-T15
2/17/24,Saturday,T13-T15
2/18/24,Sunday,T7-T9
2/19/24,Monday,T1-T3
2/20/24,Tuesday,T1-T3
2/21/24,Wednesday,T1-T3
2/22/24,Thursday,T4-T6
2/23/24,Friday,T7-T9
2/24/24,Saturday,T7-T9
2/25/24,Sunday,T4-T6
2/26/24,Monday,T1-T3
2/27/24,Tuesday,T4-T6
2/28/24,Wednesday,T4-T6
2/29/24,Thursday,T4-T6
3/1/24,Friday,T10-T12
3/2/24,Saturday,T10-T12
3/3/24,Sunday,T4-T6
3/4/24,Monday,T4-T6
3/5/24,Tuesday,T4-T6
3/6/24,Wednesday,T4-T6
