Listing ID,PMS Name,Date,Units,No. Booked,No. Blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
203812___362535,cloudbeds,2025-07-01,1,0,0,0,1,0.0,1
203812___362535,cloudbeds,2025-07-02,1,0,0,0,1,0.0,1
203812___362535,cloudbeds,2025-07-03,1,0,0,0,1,0.0,1
203812___362535,cloudbeds,2025-07-04,1,1,0,0,1,0.0,0
203812___362535,cloudbeds,2025-07-05,1,1,0,0,1,0.0,0
203812___362535,cloudbeds,2025-07-06,1,0,0,0,1,0.0,1
203812___362535,cloudbeds,2025-07-07,1,0,0,0,1,0.0,1
203812___362535,cloudbeds,2025-07-08,1,1,0,0,1,0.0,0
203812___362535,cloudbeds,2025-07-09,1,1,0,0,1,294.0,0
203812___362535,cloudbeds,2025-07-10,1,0,0,0,1,207.0,1
203812___362535,cloudbeds,2025-07-11,1,1,0,0,1,470.0,0
203812___362535,cloudbeds,2025-07-12,1,1,0,0,1,470.0,0
203812___362535,cloudbeds,2025-07-13,1,0,0,0,1,226.0,1
203812___362535,cloudbeds,2025-07-14,1,1,0,0,1,235.0,0
203812___362535,cloudbeds,2025-07-15,1,1,0,0,1,235.0,0
203812___362535,cloudbeds,2025-07-16,1,0,0,0,1,189.0,1
203812___362535,cloudbeds,2025-07-17,1,0,0,0,1,301.0,1
203812___362535,cloudbeds,2025-07-18,1,0,0,0,1,529.0,1
203812___362535,cloudbeds,2025-07-19,1,0,0,0,1,529.0,1
203812___362535,cloudbeds,2025-07-20,1,0,0,0,1,301.0,1
203812___362535,cloudbeds,2025-07-21,1,0,0,0,1,209.0,1
203812___362535,cloudbeds,2025-07-22,1,0,0,0,1,209.0,1
203812___362535,cloudbeds,2025-07-23,1,1,0,0,1,358.0,0
203812___362535,cloudbeds,2025-07-24,1,0,0,0,1,348.0,1
203812___362535,cloudbeds,2025-07-25,1,0,0,0,1,756.0,1
203812___362535,cloudbeds,2025-07-26,1,0,0,0,1,756.0,1
203812___362535,cloudbeds,2025-07-27,1,0,0,0,1,348.0,1
203812___362535,cloudbeds,2025-07-28,1,0,0,0,1,209.0,1
203812___362535,cloudbeds,2025-07-29,1,0,0,0,1,209.0,1
203812___362535,cloudbeds,2025-07-30,1,0,0,0,1,209.0,1
203812___362535,cloudbeds,2025-07-31,1,0,0,0,1,377.0,1
203812___364776,cloudbeds,2025-07-01,1,0,0,0,1,0.0,1
203812___364776,cloudbeds,2025-07-02,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-03,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-04,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-05,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-06,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-07,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-08,1,1,0,0,1,0.0,0
203812___364776,cloudbeds,2025-07-09,1,1,0,0,1,209.0,0
203812___364776,cloudbeds,2025-07-10,1,1,0,0,1,466.0,0
203812___364776,cloudbeds,2025-07-11,1,1,0,0,1,1080.0,0
203812___364776,cloudbeds,2025-07-12,1,1,0,0,1,1080.0,0
203812___364776,cloudbeds,2025-07-13,1,1,0,0,1,416.0,0
