tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_medium,rate_small,rate_large
T1-T3,Mon-Wed,>120 Days (W7),0-20,0,20,,T1-T3,T2,$259 ,$229 ,$183 
T1-T3,Mon-Wed,>120 Days (W7),30,30,30,,T4-T6,T3,$293 ,$251 ,$203 
T1-T3,Mon-Wed,>120 Days (W7),40-50,40,50,,T4-T6,T5,$352 ,$299 ,$234 
T1-T3,Mon-Wed,>120 Days (W7),60-100,60,100,,T7-T9,T8,$428 ,$384 ,$268 
T1-T3,Mon-Wed,60-120 Days (W6),0-20,0,20,,T1-T3,T2,$254 ,$224 ,$179 
T1-T3,Mon-Wed,60-120 Days (W6),30,30,30,,T4-T6,T3,$287 ,$246 ,$199 
T1-T3,Mon-Wed,60-120 Days (W6),40-50,40,50,,T4-T6,T5,$345 ,$293 ,$230 
T1-T3,Mon-Wed,60-120 Days (W6),60-100,60,100,,T7-T9,T8,$419 ,$376 ,$263 
T1-T3,Mon-Wed,46-59 Days (W5),0-10,0,10,,T1-T3,T2,$249 ,$220 ,$176 
T1-T3,Mon-Wed,46-59 Days (W5),20-30,20,30,,T1-T3,T3,$281 ,$241 ,$195 
T1-T3,Mon-Wed,46-59 Days (W5),40-50,40,50,,T4-T6,T5,$338 ,$287 ,$225 
T1-T3,Mon-Wed,46-59 Days (W5),60-100,60,100,,T7-T9,T8,$411 ,$369 ,$258 
T1-T3,Mon-Wed,31-45 Days (W4),0-10,0,10,,T1-T3,T1,$225 ,$196 ,$168 
T1-T3,Mon-Wed,31-45 Days (W4),20-30,20,30,,T1-T3,T3,$275 ,$236 ,$190 
T1-T3,Mon-Wed,31-45 Days (W4),40-50,40,50,,T4-T6,T5,$331 ,$281 ,$220 
T1-T3,Mon-Wed,31-45 Days (W4),60-100,60,100,,T7-T9,T8,$402 ,$361 ,$252 
T1-T3,Mon-Wed,22-30 Days (W3),0-10,0,10,,T0,T0,$211 ,$183 ,$155 
T1-T3,Mon-Wed,22-30 Days (W3),20-30,20,30,,T1-T3,T2,$250 ,$221 ,$177 
T1-T3,Mon-Wed,22-30 Days (W3),40-50,40,50,,T4-T6,T5,$324 ,$275 ,$216 
T1-T3,Mon-Wed,22-30 Days (W3),60-100,60,100,,T7-T9,T7,$373 ,$333 ,$242 
T1-T3,Mon-Wed,10-21 Days (W2),0-20,0,20,,T0,T0,$206 ,$179 ,$152 
T1-T3,Mon-Wed,10-21 Days (W2),30,30,30,,T1-T3,T2,$245 ,$216 ,$173 
T1-T3,Mon-Wed,10-21 Days (W2),40-60,40,60,,T1-T3,T4,$288 ,$249 ,$192 
T1-T3,Mon-Wed,10-21 Days (W2),70-100,70,100,,T4-T6,T6,$346 ,$296 ,$227 
T1-T3,Mon-Wed,0-9 Days (W1),0-30,0,30,,T0,T0,$202 ,$175 ,$149 
T1-T3,Mon-Wed,0-9 Days (W1),40-60,40,60,,T1-T3,T2,$239 ,$212 ,$169 
T1-T3,Mon-Wed,0-9 Days (W1),70-80,70,80,,T4-T6,T5,$310 ,$263 ,$206 
T1-T3,Mon-Wed,0-9 Days (W1),90-100,90,100,,T4-T6,T7,$357 ,$318 ,$231 
T4-T6,Mon-Wed,>120 Days (W7),0-20,0,20,,T4-T6,T4,$299 ,$259 ,$199 
T4-T6,Mon-Wed,>120 Days (W7),30,30,30,,T7-T9,T6,$366 ,$314 ,$240 
T4-T6,Mon-Wed,>120 Days (W7),40-50,40,50,,T7-T9,T8,$416 ,$373 ,$261 
T4-T6,Mon-Wed,>120 Days (W7),60-100,60,100,,T10-T12,T10,$483 ,$439 ,$285 
T4-T6,Mon-Wed,60-120 Days (W6),0-20,0,20,,T4-T6,T4,$293 ,$254 ,$195 
T4-T6,Mon-Wed,60-120 Days (W6),30,30,30,,T7-T9,T6,$359 ,$308 ,$236 
T4-T6,Mon-Wed,60-120 Days (W6),40-50,40,50,,T7-T9,T8,$408 ,$366 ,$256 
