Reservation ID,Listing ID,PMS Name,check_in_date,check_out_date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
9.19E+11,203812___362535,cloudbeds,5/2/24,5/5/24,601.666667,1805,3,4/28/24,4
1.49E+12,203812___362535,cloudbeds,5/9/24,5/11/24,779,1558,2,4/23/24,16
4.11E+12,203812___362535,cloudbeds,4/26/24,4/28/24,892,1784,2,4/20/24,6
1.30E+12,203812___362535,cloudbeds,4/23/24,4/25/24,212,424,2,4/18/24,5
3.58E+12,203812___362535,cloudbeds,4/19/24,4/21/24,554,1108,2,4/18/24,1
1.51E+12,203812___362535,cloudbeds,5/17/24,5/19/24,899,1798,2,4/15/24,32
3.18E+12,203812___362535,cloudbeds,4/14/24,4/16/24,190,380,2,4/14/24,0
1.91E+12,203812___362535,cloudbeds,5/20/24,5/23/24,389,1167,3,4/13/24,37
8.57E+12,203812___362535,cloudbeds,4/10/24,4/12/24,277,554,2,4/7/24,3
7.83E+12,203812___362535,cloudbeds,4/12/24,4/14/24,1049,2098,2,4/6/24,6
1.77E+12,203812___362535,cloudbeds,4/5/24,4/7/24,448,896,2,4/4/24,1
2.51E+12,203812___362535,cloudbeds,5/5/24,5/7/24,424,848,2,4/1/24,34
1.48E+12,203812___362535,cloudbeds,4/4/24,4/5/24,400,400,1,3/30/24,5
3.13E+12,203812___362535,cloudbeds,3/29/24,3/30/24,467,467,1,3/27/24,2
4.96E+12,203812___362535,cloudbeds,4/2/24,4/4/24,323,646,2,3/23/24,10
9.65E+12,203812___362535,cloudbeds,3/28/24,3/29/24,500,500,1,3/21/24,7
5.00E+12,203812___362535,cloudbeds,4/7/24,4/8/24,2500,2500,1,3/19/24,19
8.04E+12,203812___362535,cloudbeds,3/22/24,3/24/24,509,1018,2,3/18/24,4
3.06E+12,203812___362535,cloudbeds,3/17/24,3/18/24,377,377,1,3/14/24,3
3.59E+12,203812___362535,cloudbeds,3/30/24,4/2/24,424.333333,1273,3,3/13/24,17
3.01E+12,203812___362535,cloudbeds,3/25/24,3/28/24,283,849,3,3/11/24,14
5.05E+12,203812___362535,cloudbeds,3/14/24,3/15/24,576,576,1,3/11/24,3
3.06E+12,203812___362535,cloudbeds,3/15/24,3/17/24,1172,2344,2,3/5/24,10
7.15E+12,203812___362535,cloudbeds,3/2/24,3/4/24,351.5,703,2,2/26/24,5
3.63E+12,203812___362535,cloudbeds,3/4/24,3/5/24,392,392,1,2/24/24,9
9.32E+12,203812___362535,cloudbeds,3/13/24,3/14/24,267,267,1,2/22/24,20
1.33E+12,203812___362535,cloudbeds,2/19/24,2/20/24,185,185,1,2/19/24,0
5.74E+12,203812___362535,cloudbeds,2/26/24,2/29/24,255,765,3,2/17/24,9
9.51E+12,203812___362535,cloudbeds,2/17/24,2/19/24,550,1100,2,2/12/24,5
7.28E+10,203812___362535,cloudbeds,3/11/24,3/13/24,411,822,2,2/6/24,34
3.30E+12,203812___362535,cloudbeds,2/14/24,2/15/24,356,356,1,1/26/24,19
2.96E+12,203812___362535,cloudbeds,1/27/24,1/28/24,540,540,1,1/25/24,2
9.80E+12,203812___362535,cloudbeds,2/4/24,2/6/24,280,560,2,1/23/24,12
4.59E+12,203812___362535,cloudbeds,1/29/24,1/30/24,158,158,1,1/23/24,6
9.69E+12,203812___362535,cloudbeds,2/23/24,2/25/24,412,824,2,1/21/24,33
9.94E+10,203812___362535,cloudbeds,1/28/24,1/29/24,284,284,1,1/20/24,8
6.76E+12,203812___362535,cloudbeds,2/7/24,2/9/24,209,418,2,1/20/24,18
9.64E+12,203812___362535,cloudbeds,1/18/24,1/19/24,199,199,1,1/18/24,0
5.68E+12,203812___362535,cloudbeds,1/19/24,1/20/24,439,439,1,1/15/24,4
5.00E+12,203812___362535,cloudbeds,1/12/24,1/13/24,399,399,1,1/11/24,1
1.55E+12,203812___362535,cloudbeds,1/24/24,1/27/24,433,1299,3,1/6/24,18
2.68E+12,203812___362535,cloudbeds,1/7/24,1/8/24,227,227,1,1/5/24,2
8.92E+12,203812___362535,cloudbeds,2/2/24,2/4/24,519,1038,2,12/29/23,35
2.01E+12,203812___362535,cloudbeds,2/12/24,2/14/24,341,682,2,12/29/23,45
7.36E+12,203812___362535,cloudbeds,3/9/24,3/11/24,639,1278,2,12/24/23,76
7.44E+12,203812___362535,cloudbeds,12/29/23,12/31/23,772,1544,2,12/22/23,7
8.56E+12,203812___362535,cloudbeds,1/3/24,1/5/24,295,590,2,12/20/23,14
4.68E+12,203812___362535,cloudbeds,12/23/23,12/25/23,278.5,557,2,12/18/23,5
2.55E+12,203812___362535,cloudbeds,1/8/24,1/11/24,167,501,3,12/18/23,21
4.27E+12,203812___362535,cloudbeds,12/20/23,12/22/23,374,748,2,12/16/23,4
1.15E+12,203812___362535,cloudbeds,12/31/23,1/2/24,386.5,773,2,12/13/23,18
7.10E+12,203812___362535,cloudbeds,1/20/24,1/22/24,400.5,801,2,12/13/23,38
6.68E+12,203812___362535,cloudbeds,12/17/23,12/19/23,293,586,2,12/12/23,5
8.99E+11,203812___362535,cloudbeds,12/10/23,12/11/23,185,185,1,12/9/23,1
6.46E+12,203812___362535,cloudbeds,12/12/23,12/13/23,223,223,1,12/8/23,4
2.45E+12,203812___362535,cloudbeds,12/27/23,12/29/23,494,988,2,12/6/23,21
5.19E+12,203812___362535,cloudbeds,1/30/24,2/1/24,197,394,2,12/6/23,55
9.51E+12,203812___362535,cloudbeds,12/14/23,12/15/23,529,529,1,12/6/23,8
9.37E+11,203812___362535,cloudbeds,12/1/23,12/2/23,490,490,1,12/1/23,0
1.62E+11,203812___362535,cloudbeds,12/8/23,12/10/23,1099,2198,2,12/1/23,7
6.49E+12,203812___362535,cloudbeds,1/2/24,1/3/24,217,217,1,11/29/23,34
9.95E+12,203812___362535,cloudbeds,12/2/23,12/5/23,324,972,3,11/28/23,4
4.55E+12,203812___362535,cloudbeds,3/18/24,3/22/24,407.75,1631,4,11/27/23,112
2.57E+12,203812___362535,cloudbeds,2/9/24,2/11/24,460,920,2,11/26/23,75
3.62E+12,203812___362535,cloudbeds,1/5/24,1/7/24,500,1000,2,11/22/23,44
6.01E+12,203812___362535,cloudbeds,11/24/23,11/26/23,453,906,2,11/21/23,3
2.77E+12,203812___362535,cloudbeds,11/20/23,11/21/23,352,352,1,11/16/23,4
4.11E+12,203812___362535,cloudbeds,11/21/23,11/23/23,312.5,625,2,11/15/23,6
4.64E+12,203812___362535,cloudbeds,11/23/23,11/24/23,323,323,1,11/8/23,15
4.63E+12,203812___362535,cloudbeds,11/5/23,11/6/23,209,209,1,11/4/23,1
8.75E+12,203812___362535,cloudbeds,10/31/23,11/2/23,209,418,2,10/31/23,0
7.56E+12,203812___362535,cloudbeds,11/2/23,11/3/23,229,229,1,10/31/23,2
1.87E+12,203812___362535,cloudbeds,11/6/23,11/7/23,209,209,1,10/30/23,7
2.98E+12,203812___362535,cloudbeds,12/15/23,12/17/23,999,1998,2,10/30/23,46
4.88E+12,203812___362535,cloudbeds,11/15/23,11/17/23,441,882,2,10/28/23,18
9.80E+12,203812___362535,cloudbeds,10/25/23,10/26/23,231,231,1,10/21/23,4
2.90E+12,203812___362535,cloudbeds,11/3/23,11/5/23,859,1718,2,10/21/23,13
5.09E+10,203812___362535,cloudbeds,11/7/23,11/9/23,291.5,583,2,10/18/23,20
4.90E+12,203812___362535,cloudbeds,10/22/23,10/23/23,206,206,1,10/18/23,4
9.03E+12,203812___362535,cloudbeds,10/26/23,10/27/23,358,358,1,10/17/23,9
1.74E+12,203812___362535,cloudbeds,10/16/23,10/17/23,200,200,1,10/16/23,0
4.17E+12,203812___362535,cloudbeds,10/14/23,10/15/23,897,897,1,10/13/23,1
1.78E+12,203812___362535,cloudbeds,10/23/23,10/25/23,308,616,2,10/9/23,14
5.35E+12,203812___362535,cloudbeds,10/6/23,10/7/23,592,592,1,10/5/23,1
2.40E+12,203812___362535,cloudbeds,10/7/23,10/10/23,418,1254,3,10/4/23,3
5.84E+12,203812___362535,cloudbeds,11/18/23,11/20/23,712.5,1425,2,9/26/23,53
5.94E+12,203812___362535,cloudbeds,10/1/23,10/2/23,296,296,1,9/22/23,9
3.70E+12,203812___362535,cloudbeds,10/2/23,10/4/23,408,816,2,9/16/23,16
8.38E+12,203812___362535,cloudbeds,9/15/23,9/17/23,439,878,2,9/13/23,2
9.19E+11,203812___362535,cloudbeds,9/10/23,9/12/23,345,690,2,9/6/23,4
5.13E+12,203812___362535,cloudbeds,9/27/23,9/28/23,315,315,1,9/3/23,24
5.56E+12,203812___362535,cloudbeds,9/3/23,9/4/23,545,545,1,9/2/23,1
4.36E+12,203812___362535,cloudbeds,9/6/23,9/8/23,315,630,2,8/30/23,7
8.90E+12,203812___362535,cloudbeds,9/1/23,9/3/23,728,1456,2,8/30/23,2
5.16E+12,203812___362535,cloudbeds,8/25/23,8/27/23,349,698,2,8/25/23,0
4.97E+12,203812___362535,cloudbeds,9/22/23,9/24/23,773,1546,2,8/25/23,28
2.54E+12,203812___362535,cloudbeds,10/17/23,10/19/23,314,628,2,8/14/23,64
1.60E+12,203812___362535,cloudbeds,8/8/23,8/9/23,374,374,1,8/4/23,4
3.96E+11,203812___362535,cloudbeds,8/23/23,8/25/23,409,818,2,8/3/23,20
3.54E+12,203812___362535,cloudbeds,8/13/23,8/16/23,235.666667,707,3,8/3/23,10
3.86E+12,203812___362535,cloudbeds,8/9/23,8/10/23,236,236,1,7/31/23,9
9.62E+12,203812___362535,cloudbeds,8/6/23,8/7/23,288,288,1,7/30/23,7
2.25E+12,203812___362535,cloudbeds,8/29/23,8/30/23,315,315,1,7/26/23,34
5.88E+12,203812___362535,cloudbeds,9/4/23,9/6/23,352,704,2,7/26/23,40
9.26E+12,203812___362535,cloudbeds,7/30/23,8/1/23,209,418,2,7/22/23,8
9.54E+12,203812___362535,cloudbeds,7/25/23,7/27/23,408,816,2,7/19/23,6
9.85E+12,203812___362535,cloudbeds,7/17/23,7/18/23,331,331,1,7/17/23,0
7.43E+11,203812___362535,cloudbeds,7/20/23,7/21/23,462,462,1,7/17/23,3
9.58E+12,203812___362535,cloudbeds,9/25/23,9/27/23,315,630,2,7/15/23,72
1.64E+12,203812___362535,cloudbeds,7/16/23,7/17/23,264,264,1,7/13/23,3
3.42E+12,203812___362535,cloudbeds,7/13/23,7/14/23,346,346,1,7/11/23,2
4.06E+12,203812___362535,cloudbeds,7/12/23,7/13/23,310,310,1,7/11/23,1
