tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T1-T3,Mon-Wed,0-13 Days (W1),0-14%,0,14,,,T0,$120,$132,$145,$160,$176,$193,$208
T1-T3,Mon-Wed,0-13 Days (W1),15-33%,15,33,,,T0,$123,$136,$150,$165,$181,$199,$214
T1-T3,Mon-Wed,0-13 Days (W1),34-40%,34,40,,,T1,$139,$154,$170,$186,$205,$225,$242
T1-T3,Mon-Wed,0-13 Days (W1),41-60%,41,60,,,T2,$158,$174,$192,$211,$232,$255,$274
T1-T3,Mon-Wed,0-13 Days (W1),61-100%,61,100,,,T3,$179,$197,$216,$238,$262,$289,$309
T1-T3,Thu-Sun,0-13 Days (W1),0-14%,0,14,,,T0,$144,$158,$174,$191,$211,$232,$249
T1-T3,Thu-Sun,0-13 Days (W1),15-33%,15,33,,,T0,$149,$163,$179,$197,$217,$239,$257
T1-T3,Thu-Sun,0-13 Days (W1),34-40%,34,40,,,T1,$168,$184,$203,$223,$246,$270,$291
T1-T3,Thu-Sun,0-13 Days (W1),41-60%,41,60,,,T2,$190,$209,$230,$253,$278,$306,$329
T1-T3,Thu-Sun,0-13 Days (W1),61-100%,61,100,,,T3,$214,$236,$260,$285,$314,$346,$371
T1-T3,Fri-Sat,0-13 Days (W1),0-14%,0,14,,,T0,$173,$190,$209,$230,$253,$278,$299
T1-T3,Fri-Sat,0-13 Days (W1),15-33%,15,33,,,T0,$178,$196,$215,$237,$261,$286,$308
T1-T3,Fri-Sat,0-13 Days (W1),34-40%,34,40,,,T1,$202,$221,$244,$268,$295,$325,$348
T1-T3,Fri-Sat,0-13 Days (W1),41-60%,41,60,,,T2,$228,$251,$276,$303,$334,$367,$394
T1-T3,Fri-Sat,0-13 Days (W1),61-100%,61,100,,,T3,$258,$283,$311,$343,$377,$415,$445
T1-T3,Mon-Wed,14-33 Days (W2),0-16%,0,16,,,T0,$122,$134,$149,$164,$180,$197,$212
T1-T3,Mon-Wed,14-33 Days (W2),17-33%,17,33,,,T1,$138,$153,$168,$185,$203,$224,$240
T1-T3,Mon-Wed,14-33 Days (W2),34-50%,34,50,,,T2,$157,$173,$190,$209,$230,$253,$272
T1-T3,Mon-Wed,14-33 Days (W2),50-100%,50,100,,,T3,$178,$196,$215,$237,$260,$287,$307
T1-T3,Thu-Sun,14-33 Days (W2),0-16%,0,16,,,T0,$148,$162,$178,$196,$215,$237,$255
T1-T3,Thu-Sun,14-33 Days (W2),17-33%,17,33,,,T1,$167,$183,$201,$222,$244,$268,$289
T1-T3,Thu-Sun,14-33 Days (W2),34-50%,34,50,,,T2,$188,$207,$228,$251,$276,$304,$327
T1-T3,Thu-Sun,14-33 Days (W2),50-100%,50,100,,,T3,$213,$235,$258,$284,$313,$344,$369
T1-T3,Fri-Sat,14-33 Days (W2),0-16%,0,16,,,T0,$177,$195,$213,$235,$258,$284,$306
T1-T3,Fri-Sat,14-33 Days (W2),17-33%,17,33,,,T1,$200,$220,$242,$266,$292,$322,$346
T1-T3,Fri-Sat,14-33 Days (W2),34-50%,34,50,,,T2,$226,$249,$274,$301,$332,$365,$392
T1-T3,Fri-Sat,14-33 Days (W2),50-100%,50,100,,,T3,$256,$282,$309,$341,$375,$413,$443
T1-T3,Mon-Wed,34-61 Days (W3),0-12%,0,12,,,T2,$152,$167,$183,$202,$222,$244,$262
T1-T3,Mon-Wed,34-61 Days (W3),13-33%,13,33,,,T3,$172,$189,$208,$228,$251,$277,$297
T1-T3,Mon-Wed,34-61 Days (W3),34-50%,34,50,,,T4,$194,$214,$235,$258,$285,$313,$336
T1-T3,Mon-Wed,34-61 Days (W3),51-70%,51,70,,,T5,$220,$242,$266,$293,$322,$354,$380
T1-T3,Mon-Wed,34-61 Days (W3),70-100%,70,100,,,T7,$273,$301,$331,$363,$400,$440,$473
T1-T3,Thu-Sun,34-61 Days (W3),0-12%,0,12,,,T2,$181,$200,$220,$242,$266,$293,$315
T1-T3,Thu-Sun,34-61 Days (W3),13-33%,13,33,,,T3,$206,$226,$249,$274,$302,$332,$356
T1-T3,Thu-Sun,34-61 Days (W3),34-50%,34,50,,,T4,$233,$256,$282,$310,$342,$375,$403
T1-T3,Thu-Sun,34-61 Days (W3),51-70%,51,70,,,T5,$264,$290,$319,$352,$386,$425,$456
T1-T3,Thu-Sun,34-61 Days (W3),70-100%,70,100,,,T7,$328,$361,$397,$437,$481,$528,$568
T1-T3,Fri-Sat,34-61 Days (W3),0-12%,0,12,,,T2,$218,$240,$264,$290,$320,$351,$377
T1-T3,Fri-Sat,34-61 Days (W3),13-33%,13,33,,,T3,$247,$272,$299,$329,$362,$398,$427
T1-T3,Fri-Sat,34-61 Days (W3),34-50%,34,50,,,T4,$280,$307,$339,$372,$410,$451,$484
T1-T3,Fri-Sat,34-61 Days (W3),51-70%,51,70,,,T5,$316,$348,$383,$422,$464,$510,$547
T1-T3,Fri-Sat,34-61 Days (W3),70-100%,70,100,,,T7,$394,$433,$476,$524,$576,$633,$681
T1-T3,Mon-Wed,62-99 Days (W4),0-28%,0,28,,,T3,$171,$187,$206,$226,$249,$274,$294
T1-T3,Mon-Wed,62-99 Days (W4),29-50%,29,50,,,T5,$212,$233,$256,$283,$311,$341,$366
T1-T3,Mon-Wed,62-99 Days (W4),50-100%,50,100,,,T7,$264,$291,$320,$351,$386,$425,$457
T1-T3,Thu-Sun,62-99 Days (W4),0-28%,0,28,,,T3,$204,$224,$247,$271,$299,$329,$353
T1-T3,Thu-Sun,62-99 Days (W4),29-50%,29,50,,,T5,$254,$280,$308,$339,$372,$410,$440
T1-T3,Thu-Sun,62-99 Days (W4),50-100%,50,100,,,T7,$317,$349,$383,$422,$464,$510,$548
T1-T3,Fri-Sat,62-99 Days (W4),0-28%,0,28,,,T3,$245,$270,$296,$326,$359,$395,$423
T1-T3,Fri-Sat,62-99 Days (W4),29-50%,29,50,,,T5,$305,$336,$369,$407,$447,$492,$528
T1-T3,Fri-Sat,62-99 Days (W4),50-100%,50,100,,,T7,$380,$419,$460,$506,$557,$612,$658
T1-T3,Mon-Wed,>100 Days (W5),0-25%,0,25,,,T3,$174,$191,$210,$231,$254,$280,$300
T1-T3,Mon-Wed,>100 Days (W5),26-40%,26,40,,,T4,$197,$216,$238,$262,$288,$317,$340
T1-T3,Mon-Wed,>100 Days (W5),41-80%,41,80,,,T6,$245,$269,$297,$326,$358,$394,$424
T1-T3,Mon-Wed,>100 Days (W5),80-100%,80,100,,,T8,$305,$336,$368,$405,$446,$491,$528
T1-T3,Thu-Sun,>100 Days (W5),0-25%,0,25,,,T3,$208,$229,$252,$277,$305,$336,$360
T1-T3,Thu-Sun,>100 Days (W5),26-40%,26,40,,,T4,$236,$260,$285,$314,$346,$380,$408
T1-T3,Thu-Sun,>100 Days (W5),41-80%,41,80,,,T6,$294,$323,$356,$391,$430,$474,$509
T1-T3,Thu-Sun,>100 Days (W5),80-100%,80,100,,,T8,$366,$402,$443,$487,$535,$589,$632
T1-T3,Fri-Sat,>100 Days (W5),0-25%,0,25,,,T3,$250,$275,$302,$333,$366,$403,$432
T1-T3,Fri-Sat,>100 Days (W5),26-40%,26,40,,,T4,$283,$311,$343,$377,$415,$456,$490
T1-T3,Fri-Sat,>100 Days (W5),41-80%,41,80,,,T6,$353,$388,$427,$470,$516,$568,$611
T1-T3,Fri-Sat,>100 Days (W5),80-100%,80,100,,,T8,$439,$483,$531,$584,$642,$706,$759
T4-T6,Mon-Wed,0-13 Days (W1),0-14%,0,14,,,T0,$120,$132,$145,$160,$176,$193,$208
T4-T6,Mon-Wed,0-13 Days (W1),15-33%,15,33,,,T1,$136,$150,$165,$181,$199,$219,$235
T4-T6,Mon-Wed,0-13 Days (W1),34-40%,34,40,,,T2,$154,$170,$186,$205,$225,$248,$266
T4-T6,Mon-Wed,0-13 Days (W1),41-60%,41,60,,,T3,$174,$192,$211,$232,$255,$281,$301
T4-T6,Mon-Wed,0-13 Days (W1),61-100%,61,100,,,T4,$197,$216,$238,$262,$289,$317,$340
T4-T6,Thu-Sun,0-13 Days (W1),0-14%,0,14,,,T0,$144,$158,$174,$191,$211,$232,$249
T4-T6,Thu-Sun,0-13 Days (W1),14-33%,14,33,,,T1,$158,$174,$191,$211,$232,$255,$274
T4-T6,Thu-Sun,0-13 Days (W1),33-40%,33,40,,,T2,$174,$191,$211,$232,$255,$281,$302
T4-T6,Thu-Sun,0-13 Days (W1),40-60%,40,60,,,T3,$191,$211,$232,$255,$281,$309,$331
T4-T6,Thu-Sun,0-13 Days (W1),60-100%,60,100,,,T4,$211,$232,$255,$281,$309,$339,$364
T4-T6,Fri-Sat,0-13 Days (W1),0-14%,0,14,,,T0,$173,$190,$209,$230,$253,$278,$299
T4-T6,Fri-Sat,0-13 Days (W1),14-33%,14,33,,,T1,$190,$209,$230,$253,$278,$306,$328
T4-T6,Fri-Sat,0-13 Days (W1),33-40%,33,40,,,T2,$209,$230,$253,$278,$306,$337,$362
T4-T6,Fri-Sat,0-13 Days (W1),40-60%,40,60,,,T3,$230,$253,$278,$306,$337,$371,$397
T4-T6,Fri-Sat,0-13 Days (W1),60-100%,60,100,,,T4,$253,$278,$306,$337,$371,$408,$438
