tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T1-T3,Mon-Wed,>120 Days (W7),0-20,0,20,,T1-T3,T2,$259 ,$229 ,$183 ,188,188,188,188,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),21-30,21,30,,T4-T6,T3,$279 ,$239 ,$193 ,202,202,202,202,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),31-50,31,50,,T4-T6,T5,$329 ,$279 ,$219 ,262,262,262,262,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),51-100,51,100,,T7-T9,T8,$389 ,$349 ,$244 ,283,283,283,283,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),0-20,0,20,,T1-T3,T2,$254 ,$224 ,$179 ,184,184,184,184,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),21-30,21,30,,T4-T6,T3,$273 ,$234 ,$189 ,198,198,198,198,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),31-50,31,50,,T4-T6,T5,$322 ,$273 ,$215 ,239,239,239,239,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),51-100,51,100,,T7-T9,T8,$381 ,$342 ,$239 ,271,271,271,271,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),0-10,0,10,,T1-T3,T2,$249 ,$220 ,$176 ,180,180,180,180,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),11-30,11,30,,T1-T3,T3,$268 ,$229 ,$185 ,194,194,194,194,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),31-50,31,50,,T4-T6,T5,$316 ,$268 ,$210 ,218,218,218,218,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),51-100,51,100,,T7-T9,T8,$373 ,$335 ,$234 ,259,259,259,259,0,0,0
T1-T3,Mon-Wed,31-45 Days (W4),0-10,0,10,,T1-T3,T1,$225 ,$196 ,$168 ,177,177,177,177,0,0,0
