tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T1-T3,Mon-Wed,>120 Days (W7),0-20,0,20,,T1-T3,T2,$259 ,$229 ,$183 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),21-30,21,30,,T4-T6,T3,$279 ,$239 ,$193 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),31-50,31,50,,T4-T6,T5,$329 ,$279 ,$219 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,>120 Days (W7),51-100,51,100,,T7-T9,T8,$389 ,$349 ,$244 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),0-20,0,20,,T1-T3,T2,$254 ,$224 ,$179 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),21-30,21,30,,T4-T6,T3,$273 ,$234 ,$189 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),31-50,31,50,,T4-T6,T5,$322 ,$273 ,$215 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,60-120 Days (W6),51-100,51,100,,T7-T9,T8,$381 ,$342 ,$239 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),0-10,0,10,,T1-T3,T2,$249 ,$220 ,$176 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),11-30,11,30,,T1-T3,T3,$268 ,$229 ,$185 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),31-50,31,50,,T4-T6,T5,$316 ,$268 ,$210 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,46-59 Days (W5),51-100,51,100,,T7-T9,T8,$373 ,$335 ,$234 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,31-45 Days (W4),0-10,0,10,,T1-T3,T1,$225 ,$196 ,$168 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,31-45 Days (W4),11-30,11,30,,T1-T3,T3,$262 ,$225 ,$181 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,31-45 Days (W4),31-50,31,50,,T4-T6,T5,$309 ,$262 ,$206 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,31-45 Days (W4),51-100,51,100,,T7-T9,T8,$366 ,$328 ,$229 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,22-30 Days (W3),0-10,0,10,,T0,T0,$211 ,$183 ,$155 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,22-30 Days (W3),11-30,11,30,,T1-T3,T2,$238 ,$211 ,$168 ,0,0,0,0,0,0,0
T1-T3,Mon-Wed,22-30 Days (W3),31-50,31,50,,T4-T6,T5,$303 ,$257 ,$201 ,0,0,0,0,0,0,0
