Listing ID,PMS Name,Date,Units,No. Booked,No. Blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
257940___537043,cloudbeds,2025-07-13T00:00:00.000000,3,0,0,0,3,0.0,3
257940___537043,cloudbeds,2025-07-14T00:00:00.000000,3,0,0,0,3,0.0,3
257940___537043,cloudbeds,2025-07-15T00:00:00.000000,3,0,0,0,3,0.0,3
257940___537043,cloudbeds,2025-07-16T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-07-17T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-18T00:00:00.000000,3,0,0,0,3,0.0,3
257940___537043,cloudbeds,2025-07-19T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-07-20T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-07-21T00:00:00.000000,3,1,0,0,3,0.0,2
257940___537043,cloudbeds,2025-07-22T00:00:00.000000,3,1,0,0,3,0.0,2
257940___537043,cloudbeds,2025-07-23T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-24T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-25T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-07-26T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-27T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-28T00:00:00.000000,3,0,0,0,3,0.0,3
257940___537043,cloudbeds,2025-07-29T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-30T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-07-31T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-08-01T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-02T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-03T00:00:00.000000,3,1,0,0,3,0.0,2
257940___537043,cloudbeds,2025-08-04T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-05T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-06T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-08-07T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-08-08T00:00:00.000000,3,2,0,0,3,0.0,1
257940___537043,cloudbeds,2025-08-09T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-10T00:00:00.000000,3,3,0,0,3,0.0,0
257940___537043,cloudbeds,2025-08-11T00:00:00.000000,3,2,0,0,3,164.0,1
257940___537043,cloudbeds,2025-08-12T00:00:00.000000,3,3,0,0,3,164.0,0
257940___537043,cloudbeds,2025-08-13T00:00:00.000000,3,2,0,0,3,164.0,1
257940___537043,cloudbeds,2025-08-14T00:00:00.000000,3,3,0,0,3,259.0,0
257940___537043,cloudbeds,2025-08-15T00:00:00.000000,3,3,0,0,3,259.0,0
257940___537043,cloudbeds,2025-08-16T00:00:00.000000,3,3,0,0,3,291.0,0
257940___537043,cloudbeds,2025-08-17T00:00:00.000000,3,1,0,0,3,219.0,2
257940___537043,cloudbeds,2025-08-18T00:00:00.000000,3,2,0,0,3,191.0,1
257940___537043,cloudbeds,2025-08-19T00:00:00.000000,3,0,0,0,3,191.0,3
257940___537043,cloudbeds,2025-08-20T00:00:00.000000,3,1,0,0,3,259.0,2
257940___537043,cloudbeds,2025-08-21T00:00:00.000000,3,2,0,0,3,231.0,1
257940___537043,cloudbeds,2025-08-22T00:00:00.000000,3,0,0,0,3,257.0,3
257940___537043,cloudbeds,2025-08-23T00:00:00.000000,3,0,0,0,3,287.0,3
257940___537043,cloudbeds,2025-08-24T00:00:00.000000,3,1,0,0,3,231.0,2
257940___537043,cloudbeds,2025-08-25T00:00:00.000000,3,1,0,0,3,219.0,2
257940___537043,cloudbeds,2025-08-26T00:00:00.000000,3,0,0,0,3,219.0,3
257940___537043,cloudbeds,2025-08-27T00:00:00.000000,3,1,0,0,3,219.0,2
257940___537043,cloudbeds,2025-08-28T00:00:00.000000,3,2,0,0,3,301.0,1
257940___537043,cloudbeds,2025-08-29T00:00:00.000000,3,1,0,0,3,391.0,2
257940___537043,cloudbeds,2025-08-30T00:00:00.000000,3,1,0,0,3,391.0,2
257940___537043,cloudbeds,2025-08-31T00:00:00.000000,3,0,0,0,3,333.0,3
257940___537043,cloudbeds,2025-09-01T00:00:00.000000,3,0,0,0,3,296.0,3
257940___537043,cloudbeds,2025-09-02T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-03T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-04T00:00:00.000000,3,0,0,0,3,294.0,3
257940___537043,cloudbeds,2025-09-05T00:00:00.000000,3,0,0,0,3,323.0,3
257940___537043,cloudbeds,2025-09-06T00:00:00.000000,3,0,0,0,3,323.0,3
257940___537043,cloudbeds,2025-09-07T00:00:00.000000,3,0,0,0,3,262.0,3
257940___537043,cloudbeds,2025-09-08T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-09T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-10T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-11T00:00:00.000000,3,0,0,0,3,382.0,3
257940___537043,cloudbeds,2025-09-12T00:00:00.000000,3,1,0,0,3,419.0,2
257940___537043,cloudbeds,2025-09-13T00:00:00.000000,3,1,0,0,3,419.0,2
257940___537043,cloudbeds,2025-09-14T00:00:00.000000,3,0,0,0,3,382.0,3
257940___537043,cloudbeds,2025-09-15T00:00:00.000000,3,1,0,0,3,279.0,2
257940___537043,cloudbeds,2025-09-16T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-17T00:00:00.000000,3,1,0,0,3,279.0,2
257940___537043,cloudbeds,2025-09-18T00:00:00.000000,3,2,0,0,3,412.0,1
257940___537043,cloudbeds,2025-09-19T00:00:00.000000,3,1,0,0,3,452.0,2
257940___537043,cloudbeds,2025-09-20T00:00:00.000000,3,1,0,0,3,452.0,2
257940___537043,cloudbeds,2025-09-21T00:00:00.000000,3,1,0,0,3,412.0,2
257940___537043,cloudbeds,2025-09-22T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-23T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-24T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-25T00:00:00.000000,3,3,0,0,3,327.0,0
257940___537043,cloudbeds,2025-09-26T00:00:00.000000,3,3,0,0,3,359.0,0
257940___537043,cloudbeds,2025-09-27T00:00:00.000000,3,3,0,0,3,359.0,0
257940___537043,cloudbeds,2025-09-28T00:00:00.000000,3,1,0,0,3,262.0,2
257940___537043,cloudbeds,2025-09-29T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-09-30T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-10-01T00:00:00.000000,3,0,0,0,3,279.0,3
257940___537043,cloudbeds,2025-10-02T00:00:00.000000,3,0,0,0,3,327.0,3
257940___537043,cloudbeds,2025-10-03T00:00:00.000000,3,0,0,0,3,359.0,3
257940___537043,cloudbeds,2025-10-04T00:00:00.000000,3,0,0,0,3,359.0,3
257940___537043,cloudbeds,2025-10-05T00:00:00.000000,3,0,0,0,3,327.0,3
257940___537043,cloudbeds,2025-10-06T00:00:00.000000,3,0,0,0,3,310.0,3
257940___537043,cloudbeds,2025-10-07T00:00:00.000000,3,0,0,0,3,310.0,3
257940___537043,cloudbeds,2025-10-08T00:00:00.000000,3,0,0,0,3,310.0,3
257940___537043,cloudbeds,2025-10-09T00:00:00.000000,3,0,0,0,3,327.0,3
257940___537043,cloudbeds,2025-10-10T00:00:00.000000,3,0,0,0,3,359.0,3
257940___537043,cloudbeds,2025-10-11T00:00:00.000000,3,0,0,0,3,359.0,3
257940___537043,cloudbeds,2025-10-12T00:00:00.000000,3,0,0,0,3,327.0,3
257940___537043,cloudbeds,2025-10-13T00:00:00.000000,3,0,0,0,3,310.0,3
257940___537043,cloudbeds,2025-10-14T00:00:00.000000,3,0,0,0,3,310.0,3
257940___537043,cloudbeds,2025-10-15T00:00:00.000000,3,1,0,0,3,310.0,2
257940___537043,cloudbeds,2025-10-16T00:00:00.000000,3,1,0,0,3,327.0,2
257940___537043,cloudbeds,2025-10-17T00:00:00.000000,3,1,0,0,3,359.0,2
257940___537043,cloudbeds,2025-10-18T00:00:00.000000,3,1,0,0,3,359.0,2
257940___537043,cloudbeds,2025-10-19T00:00:00.000000,3,0,0,0,3,327.0,3
257940___537043,cloudbeds,2025-10-20T00:00:00.000000,3,0,0,0,3,310.0,3
