tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2
T1-T3,Mon-Wed,0-3 Days (W1),0-28%,0,28,,,T0,$87,$96
T1-T3,Thu-Sun,0-3 Days (W1),0-28%,0,28,,,T0,$96,$105
T1-T3,Fri-Sat,0-3 Days (W1),0-28%,0,28,,,T0,$105,$115
T1-T3,Mon-Wed,0-3 Days (W1),29-57%,29,57,,,T1,$104,$113
T1-T3,Thu-Sun,0-3 Days (W1),29-57%,29,57,,,T1,$114,$124
T1-T3,Fri-Sat,0-3 Days (W1),29-57%,29,57,,,T1,$124,$137
T1-T3,Mon-Wed,0-3 Days (W1),58-71%,58,71,,,T2,$123,$134
T1-T3,Thu-Sun,0-3 Days (W1),58-71%,58,71,,,T2,$134,$148
T1-T3,Fri-Sat,0-3 Days (W1),58-71%,58,71,,,T2,$148,$163
T1-T3,Mon-Wed,0-3 Days (W1),72-85%,72,85,,,T3,$145,$159
T1-T3,Thu-Sun,0-3 Days (W1),72-85%,72,85,,,T3,$160,$175
T1-T3,Fri-Sat,0-3 Days (W1),72-85%,72,85,,,T3,$176,$192
T1-T3,Mon-Wed,0-3 Days (W1),86-100%,86,100,,,T3,$150,$163
T1-T3,Thu-Sun,0-3 Days (W1),86-100%,86,100,,,T3,$164,$180
T1-T3,Fri-Sat,0-3 Days (W1),86-100%,86,100,,,T3,$181,$198
T1-T3,Mon-Wed,4-7 Days (W2),0-28%,0,28,,,T0,$89,$98
T1-T3,Thu-Sun,4-7 Days (W2),0-28%,0,28,,,T0,$98,$107
T1-T3,Fri-Sat,4-7 Days (W2),0-28%,0,28,,,T0,$107,$118
T1-T3,Mon-Wed,4-7 Days (W2),29-57%,29,57,,,T1,$106,$115
T1-T3,Thu-Sun,4-7 Days (W2),29-57%,29,57,,,T1,$116,$127
T1-T3,Fri-Sat,4-7 Days (W2),29-57%,29,57,,,T1,$127,$140
T1-T3,Mon-Wed,4-7 Days (W2),58-71%,58,71,,,T2,$125,$137
T1-T3,Thu-Sun,4-7 Days (W2),58-71%,58,71,,,T2,$137,$151
T1-T3,Fri-Sat,4-7 Days (W2),58-71%,58,71,,,T2,$151,$166
T1-T3,Mon-Wed,4-7 Days (W2),72-85%,72,85,,,T3,$148,$162
T1-T3,Thu-Sun,4-7 Days (W2),72-85%,72,85,,,T3,$163,$178
T1-T3,Fri-Sat,4-7 Days (W2),72-85%,72,85,,,T3,$179,$196
T1-T3,Mon-Wed,4-7 Days (W2),86-100%,86,100,,,T4,$175,$192
T1-T3,Thu-Sun,4-7 Days (W2),86-100%,86,100,,,T4,$193,$211
T1-T3,Fri-Sat,4-7 Days (W2),86-100%,86,100,,,T4,$212,$232
T1-T3,Mon-Wed,8-19 Days (W3),0-28%,0,28,,,T0,$91,$100
T1-T3,Thu-Sun,8-19 Days (W3),0-28%,0,28,,,T0,$100,$109
T1-T3,Fri-Sat,8-19 Days (W3),0-28%,0,28,,,T0,$109,$120
T1-T3,Mon-Wed,8-19 Days (W3),29-57%,29,57,,,T2,$124,$136
T1-T3,Thu-Sun,8-19 Days (W3),29-57%,29,57,,,T2,$136,$149
T1-T3,Fri-Sat,8-19 Days (W3),29-57%,29,57,,,T2,$149,$164
T1-T3,Mon-Wed,8-19 Days (W3),58-71%,58,71,,,T3,$147,$160
T1-T3,Thu-Sun,8-19 Days (W3),58-71%,58,71,,,T3,$161,$176
T1-T3,Fri-Sat,8-19 Days (W3),58-71%,58,71,,,T3,$177,$194
T1-T3,Mon-Wed,8-19 Days (W3),72-85%,72,85,,,T4,$173,$190
T1-T3,Thu-Sun,8-19 Days (W3),72-85%,72,85,,,T4,$191,$209
T1-T3,Fri-Sat,8-19 Days (W3),72-85%,72,85,,,T4,$210,$230
T1-T3,Mon-Wed,8-19 Days (W3),86-100%,86,100,,,T5,$205,$225
T1-T3,Thu-Sun,8-19 Days (W3),86-100%,86,100,,,T5,$226,$247
T1-T3,Fri-Sat,8-19 Days (W3),86-100%,86,100,,,T5,$248,$272
T1-T3,Mon-Wed,20-37 Days (W4),0-28%,0,28,,,T1,$107,$117
T1-T3,Thu-Sun,20-37 Days (W4),0-28%,0,28,,,T1,$118,$128
T1-T3,Fri-Sat,20-37 Days (W4),0-28%,0,28,,,T1,$128,$141
T1-T3,Mon-Wed,20-37 Days (W4),29-57%,29,57,,,T2,$126,$138
T1-T3,Thu-Sun,20-37 Days (W4),29-57%,29,57,,,T2,$138,$153
T1-T3,Fri-Sat,20-37 Days (W4),29-57%,29,57,,,T2,$153,$168
T1-T3,Mon-Wed,20-37 Days (W4),58-71%,58,71,,,T4,$172,$188
T1-T3,Thu-Sun,20-37 Days (W4),58-71%,58,71,,,T4,$189,$207
T1-T3,Fri-Sat,20-37 Days (W4),58-71%,58,71,,,T4,$208,$228
T1-T3,Mon-Wed,20-37 Days (W4),72-85%,72,85,,,T5,$203,$223
T1-T3,Thu-Sun,20-37 Days (W4),72-85%,72,85,,,T5,$224,$245
T1-T3,Fri-Sat,20-37 Days (W4),72-85%,72,85,,,T5,$246,$270
T1-T3,Mon-Wed,20-37 Days (W4),86-100%,86,100,,,T7,$276,$303
T1-T3,Thu-Sun,20-37 Days (W4),86-100%,86,100,,,T7,$305,$333
T1-T3,Fri-Sat,20-37 Days (W4),86-100%,86,100,,,T7,$334,$366
T1-T3,Mon-Wed,>38 Days (W5),0-28%,0,28,,,T2,$125,$137
