tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1
T1-T3,Mon-Wed,>120 Days (W7),0-25,0,25,,,T1,163
T1-T3,Mon-Wed,>120 Days (W7),26-50,26,50,,,T2,175
T1-T3,Mon-Wed,>120 Days (W7),51-75,51,75,,,T6,228
T1-T3,Mon-Wed,>120 Days (W7),76-100,76,100,,,T8,246
T1-T3,Mon-Wed,60-120 Days (W6),0-25,0,25,,,T1,160
T1-T3,Mon-Wed,60-120 Days (W6),26-50,26,50,,,T2,172
T1-T3,Mon-Wed,60-120 Days (W6),51-75,51,75,,,T5,209
T1-T3,Mon-Wed,60-120 Days (W6),76-100,76,100,,,T7,235
T1-T3,Mon-Wed,46-59 Days (W5),0-25,0,25,,,T1,156
T1-T3,Mon-Wed,46-59 Days (W5),26-50,26,50,,,T2,168
T1-T3,Mon-Wed,46-59 Days (W5),51-75,51,75,,,T4,189
T1-T3,Mon-Wed,46-59 Days (W5),76-100,76,100,,,T6,225
T1-T3,Mon-Wed,31-45 Days (W4),0-25,0,25,,,T1,153
T1-T3,Mon-Wed,31-45 Days (W4),26-50,26,50,,,T2,165
T1-T3,Mon-Wed,31-45 Days (W4),51-75,51,75,,,T3,171
T1-T3,Mon-Wed,31-45 Days (W4),76-100,76,100,,,T5,206
T1-T3,Mon-Wed,22-30 Days (W3),0-25,0,25,,,T1,150
T1-T3,Mon-Wed,22-30 Days (W3),26-50,26,50,,,T2,161
T1-T3,Mon-Wed,22-30 Days (W3),51-75,51,75,,,T3,167
T1-T3,Mon-Wed,22-30 Days (W3),76-100,76,100,,,T4,186
T1-T3,Mon-Wed,10-21 Days (W2),0-25,0,25,,,T1,147
T1-T3,Mon-Wed,10-21 Days (W2),26-50,26,50,,,T2,158
T1-T3,Mon-Wed,10-21 Days (W2),51-75,51,75,,,T3,164
T1-T3,Mon-Wed,10-21 Days (W2),76-100,76,100,,,T4,182
T1-T3,Mon-Wed,0-9 Days (W1),0-25,0,25,,,T1,143
T1-T3,Mon-Wed,0-9 Days (W1),26-50,26,50,,,T2,154
T1-T3,Mon-Wed,0-9 Days (W1),51-75,51,75,,,T3,160
T1-T3,Mon-Wed,0-9 Days (W1),76-100,76,100,,,T4,178
T4-T6,Mon-Wed,>120 Days (W7),0-25,0,25,,,T3,170
T4-T6,Mon-Wed,>120 Days (W7),26-50,26,50,,,T4,193
T4-T6,Mon-Wed,>120 Days (W7),51-75,51,75,,,T7,233
T4-T6,Mon-Wed,>120 Days (W7),76-100,76,100,,,T9,252
T4-T6,Mon-Wed,60-120 Days (W6),0-25,0,25,,,T3,167
T4-T6,Mon-Wed,60-120 Days (W6),26-50,26,50,,,T4,189
T4-T6,Mon-Wed,60-120 Days (W6),51-75,51,75,,,T6,223
T4-T6,Mon-Wed,60-120 Days (W6),76-100,76,100,,,T8,241
T4-T6,Mon-Wed,46-59 Days (W5),0-25,0,25,,,T3,163
T4-T6,Mon-Wed,46-59 Days (W5),26-50,26,50,,,T4,185
T4-T6,Mon-Wed,46-59 Days (W5),51-75,51,75,,,T5,204
T4-T6,Mon-Wed,46-59 Days (W5),76-100,76,100,,,T7,230
T4-T6,Mon-Wed,31-45 Days (W4),0-25,0,25,,,T3,160
T4-T6,Mon-Wed,31-45 Days (W4),26-50,26,50,,,T4,182
T4-T6,Mon-Wed,31-45 Days (W4),51-75,51,75,,,T5,200
T4-T6,Mon-Wed,31-45 Days (W4),76-100,76,100,,,T6,220
T4-T6,Mon-Wed,22-30 Days (W3),0-25,0,25,,,T3,156
T4-T6,Mon-Wed,22-30 Days (W3),26-50,26,50,,,T4,178
T4-T6,Mon-Wed,22-30 Days (W3),51-75,51,75,,,T5,196
T4-T6,Mon-Wed,22-30 Days (W3),76-100,76,100,,,T6,216
T4-T6,Mon-Wed,10-21 Days (W2),0-25,0,25,,,T3,153
T4-T6,Mon-Wed,10-21 Days (W2),26-50,26,50,,,T4,174
T4-T6,Mon-Wed,10-21 Days (W2),51-75,51,75,,,T5,192
T4-T6,Mon-Wed,10-21 Days (W2),76-100,76,100,,,T6,211
T4-T6,Mon-Wed,0-9 Days (W1),0-25,0,25,,,T3,150
T4-T6,Mon-Wed,0-9 Days (W1),26-50,26,50,,,T4,170
T4-T6,Mon-Wed,0-9 Days (W1),51-75,51,75,,,T5,187
T4-T6,Mon-Wed,0-9 Days (W1),76-100,76,100,,,T6,206
T7-T9,Mon-Wed,>120 Days (W7),0-25,0,25,,,T5,199
T7-T9,Mon-Wed,>120 Days (W7),26-50,26,50,,,T6,224
T7-T9,Mon-Wed,>120 Days (W7),51-75,51,75,,,T9,245
T7-T9,Mon-Wed,>120 Days (W7),76-100,76,100,,,T11,271
T7-T9,Mon-Wed,60-120 Days (W6),0-25,0,25,,,T5,195
T7-T9,Mon-Wed,60-120 Days (W6),26-50,26,50,,,T6,219
T7-T9,Mon-Wed,60-120 Days (W6),51-75,51,75,,,T8,235
T7-T9,Mon-Wed,60-120 Days (W6),76-100,76,100,,,T10,257
T7-T9,Mon-Wed,46-59 Days (W5),0-25,0,25,,,T5,191
T7-T9,Mon-Wed,46-59 Days (W5),26-50,26,50,,,T6,215
T7-T9,Mon-Wed,46-59 Days (W5),51-75,51,75,,,T7,224
T7-T9,Mon-Wed,46-59 Days (W5),76-100,76,100,,,T9,242
T7-T9,Mon-Wed,31-45 Days (W4),0-25,0,25,,,T5,187
T7-T9,Mon-Wed,31-45 Days (W4),26-50,26,50,,,T6,210
T7-T9,Mon-Wed,31-45 Days (W4),51-75,51,75,,,T7,219
T7-T9,Mon-Wed,31-45 Days (W4),76-100,76,100,,,T8,232
T7-T9,Mon-Wed,22-30 Days (W3),0-25,0,25,,,T5,183
T7-T9,Mon-Wed,22-30 Days (W3),26-50,26,50,,,T6,206
T7-T9,Mon-Wed,22-30 Days (W3),51-75,51,75,,,T7,215
T7-T9,Mon-Wed,22-30 Days (W3),76-100,76,100,,,T8,227
T7-T9,Mon-Wed,10-21 Days (W2),0-25,0,25,,,T5,179
T7-T9,Mon-Wed,10-21 Days (W2),26-50,26,50,,,T6,201
T7-T9,Mon-Wed,10-21 Days (W2),51-75,51,75,,,T7,210
T7-T9,Mon-Wed,10-21 Days (W2),76-100,76,100,,,T8,222
T7-T9,Mon-Wed,0-9 Days (W1),0-25,0,25,,,T5,175
