tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4
T1-T3,Mon-Wed,>90 Days (W6),0-15%,0,15,,,T1,$180,$207,$217,$250
T1-T3,Thu-Sun,>90 Days (W6),0-15%,0,15,,,T1,$198,$228,$239,$275
T1-T3,Fri-Sat,>90 Days (W6),0-15%,0,15,,,T1,$288,$331,$348,$400
T1-T3,Mon-Wed,>90 Days (W6),16-35%,16,35,,,T2,$208,$239,$251,$289
T1-T3,Thu-Sun,>90 Days (W6),16-35%,16,35,,,T2,$230,$264,$277,$318
T1-T3,Fri-Sat,>90 Days (W6),16-35%,16,35,,,T2,$333,$382,$402,$462
T1-T3,Mon-Wed,>90 Days (W6),36-50%,36,50,,,T4,$266,$306,$321,$369
T1-T3,Thu-Sun,>90 Days (W6),36-50%,36,50,,,T4,$296,$340,$357,$411
T1-T3,Fri-Sat,>90 Days (W6),36-50%,36,50,,,T4,$426,$490,$514,$591
T1-T3,Mon-Wed,>90 Days (W6),51-65%,51,65,,,T6,$335,$385,$404,$465
T1-T3,Thu-Sun,>90 Days (W6),51-65%,51,65,,,T6,$374,$429,$451,$519
T1-T3,Fri-Sat,>90 Days (W6),51-65%,51,65,,,T6,$536,$617,$647,$744
T1-T3,Mon-Wed,>90 Days (W6),66-79%,66,79,,,T8,$419,$482,$506,$582
T1-T3,Thu-Sun,>90 Days (W6),66-79%,66,79,,,T8,$473,$543,$570,$655
T1-T3,Fri-Sat,>90 Days (W6),66-79%,66,79,,,T8,$671,$772,$810,$931
T1-T3,Mon-Wed,>90 Days (W6),80-100%,80,100,,,T10,$514,$591,$621,$714
T1-T3,Thu-Sun,>90 Days (W6),80-100%,80,100,,,T10,$585,$673,$706,$812
T1-T3,Fri-Sat,>90 Days (W6),80-100%,80,100,,,T10,$823,$946,$994,"$1,143"
T1-T3,Mon-Wed,60-90 Days (W5),0-20%,0,20,,,T1,$176,$203,$213,$245
T1-T3,Thu-Sun,60-90 Days (W5),0-20%,0,20,,,T1,$194,$223,$234,$270
T1-T3,Fri-Sat,60-90 Days (W5),0-20%,0,20,,,T1,$282,$324,$341,$392
T1-T3,Mon-Wed,60-90 Days (W5),21-35%,21,35,,,T2,$204,$234,$246,$284
T1-T3,Thu-Sun,60-90 Days (W5),21-35%,21,35,,,T2,$225,$258,$272,$312
T1-T3,Fri-Sat,60-90 Days (W5),21-35%,21,35,,,T2,$326,$374,$394,$453
T1-T3,Mon-Wed,60-90 Days (W5),36-50%,36,50,,,T4,$261,$300,$315,$362
T1-T3,Thu-Sun,60-90 Days (W5),36-50%,36,50,,,T4,$290,$333,$350,$403
T1-T3,Fri-Sat,60-90 Days (W5),36-50%,36,50,,,T4,$418,$480,$504,$580
T1-T3,Mon-Wed,60-90 Days (W5),51-65%,51,65,,,T6,$328,$377,$396,$456
T1-T3,Thu-Sun,60-90 Days (W5),51-65%,51,65,,,T6,$366,$421,$442,$508
T1-T3,Fri-Sat,60-90 Days (W5),51-65%,51,65,,,T6,$526,$605,$635,$730
