listing,listing_id,date,Live Rate $,occupancy_percent,suggested_rate,adjusted_rate,final_tier,booking_window,error_details
Coventry,320200,2025-05-20,459,20.0,230,,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-21,459,20.0,230,,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-22,884,20.0,190,209,T1-T2,0-7 Days (W1),None
Coventry,320200,2025-05-23,1169,60.0,528,686,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-24,1169,60.0,528,686,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-25,960,40.0,220,264,T1-T2,0-7 Days (W1),None
Coventry,320200,2025-05-26,635,0.0,189,227,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-27,459,0.0,189,,T5-T6,0-7 Days (W1),None
Coventry,320200,2025-05-28,459,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-05-29,743,20.0,194,,T1-T2,8-30 Days (W2),None
Coventry,320200,2025-05-30,897,20.0,256,,T1-T2,8-30 Days (W2),None
Coventry,320200,2025-05-31,897,20.0,256,,T1-T2,8-30 Days (W2),None
Coventry,320200,2025-06-01,743,0.0,187,,T1-T2,8-30 Days (W2),None
Coventry,320200,2025-06-02,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-03,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-04,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-05,590,0.0,188,,T3-T4,8-30 Days (W2),None
Coventry,320200,2025-06-06,714,0.0,248,,T3-T4,8-30 Days (W2),None
Coventry,320200,2025-06-07,714,0.0,248,,T3-T4,8-30 Days (W2),None
Coventry,320200,2025-06-08,590,0.0,188,,T3-T4,8-30 Days (W2),None
Coventry,320200,2025-06-09,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-10,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-11,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-12,590,20.0,323,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-13,714,20.0,426,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-14,714,20.0,426,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-15,590,0.0,261,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-16,341,20.0,283,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-17,341,20.0,283,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-18,341,0.0,228,,T5-T6,8-30 Days (W2),None
Coventry,320200,2025-06-19,590,20.0,219,,T3-T4,8-30 Days (W2),None
Coventry,320200,2025-06-20,714,20.0,362,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-21,714,20.0,362,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-22,590,0.0,267,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-23,341,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-24,341,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-25,341,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-26,590,20.0,275,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-27,714,20.0,626,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-06-28,714,20.0,626,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-06-29,590,0.0,267,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-06-30,341,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-01,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-02,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-03,701,0.0,267,347,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-04,813,0.0,506,658,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-05,813,0.0,506,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-06,603,0.0,267,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-07,314,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-08,314,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-09,314,0.0,233,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-10,503,0.0,267,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-11,633,0.0,506,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-12,633,0.0,506,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-13,503,0.0,267,,T3-T4,31-90 Days (W3),None
Coventry,320200,2025-07-14,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-15,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-16,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-17,503,20.0,476,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-18,633,20.0,626,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-19,633,20.0,626,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-20,503,0.0,385,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-21,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-22,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-23,314,0.0,336,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-24,503,0.0,385,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-25,633,0.0,506,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-26,633,0.0,506,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-27,503,0.0,385,,T5-T6,31-90 Days (W3),None
Coventry,320200,2025-07-28,314,0.0,336,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-05-20,151,20.0,209,,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-21,151,20.0,209,,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-22,174,20.0,172,189,T1-T2,0-7 Days (W1),None
Romney,320201,2025-05-23,219,60.0,368,478,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-24,219,60.0,368,478,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-25,199,40.0,201,241,T1-T2,0-7 Days (W1),None
Romney,320201,2025-05-26,151,0.0,172,206,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-27,151,0.0,172,,T5-T6,0-7 Days (W1),None
Romney,320201,2025-05-28,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-05-29,199,20.0,176,,T1-T2,8-30 Days (W2),None
Romney,320201,2025-05-30,234,20.0,232,,T1-T2,8-30 Days (W2),None
Romney,320201,2025-05-31,234,20.0,232,,T1-T2,8-30 Days (W2),None
Romney,320201,2025-06-01,199,0.0,149,,T1-T2,8-30 Days (W2),None
Romney,320201,2025-06-02,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-03,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-04,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-05,259,0.0,171,,T3-T4,8-30 Days (W2),None
Romney,320201,2025-06-06,351,0.0,226,,T3-T4,8-30 Days (W2),None
Romney,320201,2025-06-07,351,0.0,226,,T3-T4,8-30 Days (W2),None
Romney,320201,2025-06-08,259,0.0,171,,T3-T4,8-30 Days (W2),None
Romney,320201,2025-06-09,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-10,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-11,151,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-12,428,20.0,258,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-13,475,20.0,339,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-14,475,20.0,339,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-15,428,0.0,238,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-16,187,20.0,225,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-17,187,20.0,225,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-18,187,0.0,208,,T5-T6,8-30 Days (W2),None
Romney,320201,2025-06-19,428,20.0,199,,T3-T4,8-30 Days (W2),None
Romney,320201,2025-06-20,522,20.0,329,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-21,522,20.0,329,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-22,428,0.0,243,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-23,187,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-24,187,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-25,187,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-26,428,20.0,250,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-27,522,20.0,382,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-06-28,522,20.0,382,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-06-29,428,0.0,243,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-06-30,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-01,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-02,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-03,420,0.0,243,316,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-04,503,0.0,352,458,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-05,503,0.0,352,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-06,357,0.0,243,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-07,208,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-08,208,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-09,208,0.0,212,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-10,292,0.0,243,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-11,384,0.0,352,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-12,384,0.0,352,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-13,292,0.0,243,,T3-T4,31-90 Days (W3),None
Romney,320201,2025-07-14,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-15,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-16,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-17,292,20.0,290,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-18,384,20.0,382,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-19,384,20.0,382,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-20,292,0.0,268,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-21,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-22,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-23,208,0.0,234,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-24,292,0.0,268,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-25,384,0.0,352,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-26,384,0.0,352,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-27,292,0.0,268,,T5-T6,31-90 Days (W3),None
Romney,320201,2025-07-28,208,0.0,234,,T5-T6,31-90 Days (W3),None
Burnhill,320202,2025-05-20,178,20.0,230,,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-21,178,20.0,230,,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-22,219,20.0,190,209,T1-T2,0-7 Days (W1),None
Burnhill,320202,2025-05-23,259,60.0,528,686,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-24,259,60.0,528,686,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-25,224,40.0,220,264,T1-T2,0-7 Days (W1),None
Burnhill,320202,2025-05-26,178,0.0,189,227,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-27,178,0.0,189,,T5-T6,0-7 Days (W1),None
Burnhill,320202,2025-05-28,178,0.0,228,,T5-T6,8-30 Days (W2),None
Burnhill,320202,2025-05-29,249,20.0,194,,T1-T2,8-30 Days (W2),None
Burnhill,320202,2025-05-30,299,20.0,256,,T1-T2,8-30 Days (W2),None
Burnhill,320202,2025-05-31,299,20.0,256,,T1-T2,8-30 Days (W2),None
Burnhill,320202,2025-06-01,249,0.0,187,,T1-T2,8-30 Days (W2),None
Burnhill,320202,2025-06-02,183,0.0,228,,T5-T6,8-30 Days (W2),None
