listing,listing_id,date,occupancy_percent,suggested_rate,adjusted_rate,final_tier,booking_window,error_details
Cocoon,203812___362535,2025-07-01,16.67,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-02,0.0,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-03,0.0,548,712,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-04,0.0,1038,1349,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-05,0.0,1038,,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-06,8.33,548,,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-07,16.67,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-08,8.33,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-09,8.33,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-10,8.33,322,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-11,16.67,469,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-12,16.67,469,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-13,16.67,322,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-14,16.67,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-15,8.33,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-16,0.0,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-17,0.0,362,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-18,41.67,1257,,T7-T9,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-19,41.67,1257,,T7-T9,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-20,8.33,362,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-21,16.67,254,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-22,16.67,254,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-23,8.33,254,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-24,0.0,322,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-25,0.0,1038,,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-26,0.0,1038,,T10-T12,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-27,0.0,322,,T1-T3,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-28,0.0,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-29,8.33,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-30,8.33,293,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-07-31,16.67,362,,T4-T6,60-120 Days (W6),None
Cocoon,203812___362535,2025-08-01,33.33,838,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-01,16.67,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-02,0.0,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-03,0.0,469,610,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-04,0.0,773,1005,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-05,0.0,773,,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-06,8.33,469,,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-07,16.67,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-08,8.33,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-09,8.33,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-10,8.33,264,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-11,16.67,420,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-12,16.67,420,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-13,16.67,264,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-14,16.67,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-15,8.33,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-16,0.0,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-17,0.0,303,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-18,41.67,932,,T7-T9,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-19,41.67,932,,T7-T9,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-20,8.33,303,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-21,16.67,224,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-22,16.67,224,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-23,8.33,224,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-24,0.0,264,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-25,0.0,773,,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-26,0.0,773,,T10-T12,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-27,0.0,264,,T1-T3,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-28,0.0,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-29,8.33,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-30,8.33,254,,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-07-31,16.67,303,305,T4-T6,60-120 Days (W6),None
Walnut House,203812___364773,2025-08-01,33.33,733,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-01,16.67,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-02,0.0,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-03,0.0,469,610,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-04,0.0,773,1005,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-05,0.0,773,,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-06,8.33,469,,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-07,16.67,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-08,8.33,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-09,8.33,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-10,8.33,264,279,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-11,16.67,420,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-12,16.67,420,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-13,16.67,264,305,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-14,16.67,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-15,8.33,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-16,0.0,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-17,0.0,303,279,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-18,41.67,932,,T7-T9,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-19,41.67,932,,T7-T9,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-20,8.33,303,269,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-21,16.67,224,,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-22,16.67,224,,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-23,8.33,224,,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-24,0.0,264,,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-25,0.0,773,,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-26,0.0,773,,T10-T12,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-27,0.0,264,,T1-T3,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-28,0.0,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-29,8.33,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-30,8.33,254,,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-07-31,16.67,303,279,T4-T6,60-120 Days (W6),None
Spyglass,203812___364776,2025-08-01,33.33,733,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-01,16.67,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-02,0.0,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-03,0.0,469,610,T10-T12,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-04,0.0,773,1005,T10-T12,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-05,0.0,773,,T10-T12,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-06,8.33,469,,T10-T12,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-07,16.67,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-08,8.33,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-09,8.33,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-10,8.33,264,,T1-T3,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-11,16.67,420,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-12,16.67,420,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-13,16.67,264,,T1-T3,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-14,16.67,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-15,8.33,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-16,0.0,254,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-17,0.0,303,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-18,41.67,932,,T7-T9,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-19,41.67,932,,T7-T9,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-20,8.33,303,,T4-T6,60-120 Days (W6),None
Live Oak Lodge,203812___364778,2025-07-21,16.67,224,,T1-T3,60-120 Days (W6),None
